_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
662,5,21,218,5,5,5,10/29/2019,5,5,5,5,5,5,4,5,5,N/A,19,5,5,PRIVATE,Evaluation needs to be conducted in 3 years,4156628,96,4,7  SUMMERLAND TER ,4,5,03,4,2011,2017
663,3,16,221,4,4,4,10/31/2019,3,3,3,3,3,5,4,3,3,4,20,3,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152929,68,4,60  MOUNTVIEW AVE ,2,4,04,3,1965,2017
664,5,12,171,4,4,5,10/31/2019,4,5,4,4,3,5,4,5,5,4,20,4,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152930,85,4,66  OAKMOUNT RD ,4,4,04,5,1986,2017
665,5,7,80,4,4,4,11/04/2019,5,4,5,4,3,5,4,4,5,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152957,82,3,35  SPENCER AVE ,4,3,04,4,1960,2017
666,3,5,56,5,3,3,11/04/2019,4,4,4,4,N/A,5,4,4,3,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152958,76,4,47  SPENCER AVE ,4,3,04,4,1962,2017
667,N/A,3,24,N/A,3,3,01/28/2019,3,3,4,3,N/A,5,4,3,4,3,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153412,68,4,123  D'ARCY ST ,3,N/A,11,3,1985,2017
668,N/A,3,28,N/A,3,3,03/08/2019,3,3,3,4,N/A,2,4,2,4,3,15,4,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4153417,64,4,87  BELLEVUE AVE ,3,N/A,11,3,1885,2017
669,4,4,16,N/A,4,3,03/08/2019,3,4,4,3,2,2,3,3,4,3,17,N/A,2,PRIVATE,Evaluation needs to be conducted in 1 year,4153418,64,3,99  BELLEVUE AVE ,3,N/A,11,4,1988,2018
670,4,7,174,3,3,3,12/02/2019,3,3,3,3,3,2,4,3,3,4,19,3,3,TCHC,Evaluation needs to be conducted in 1 year,4153434,62,4,200  SHERBOURNE ST ,2,N/A,13,3,1978,2017
671,N/A,5,46,4,3,3,11/28/2019,4,4,3,4,4,5,2,3,3,3,18,3,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153925,69,4,101  LAWTON BLVD ,3,N/A,12,4,1934,2017
672,5,17,157,5,5,3,11/28/2019,4,5,5,5,4,5,4,4,4,5,20,5,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153929,87,5,19  LASCELLES BLVD ,3,4,12,4,1957,2017
673,NA,17,173,NA,4,4,NA,NA,NA,NA,5,4,NA,NA,4,5,NA,8,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4153930,66,5,21  LASCELLES BLVD ,4,NA,12,NA,1957,2017
674,4,11,138,5,5,5,11/21/2019,4,4,4,5,4,5,4,5,4,5,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153954,91,5,21  MAYFAIR AVE ,5,N/A,08,4,1962,2017
675,4,11,210,5,5,5,11/21/2019,4,5,5,5,4,5,5,5,4,5,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153957,93,5,2121  BATHURST ST ,4,N/A,08,4,1964,2017
676,3,7,78,5,5,4,03/05/2019,3,3,3,3,3,5,4,4,4,3,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153958,76,5,15  SHALLMAR BLVD ,4,4,08,4,1962,2017
677,N/A,3,11,N/A,4,5,11/18/2019,5,5,4,4,N/A,5,4,4,4,5,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154423,89,5,2856  KEELE ST ,4,N/A,06,5,1969,2017
678,N/A,3,39,N/A,3,3,01/14/2019,4,3,4,4,N/A,5,2,3,3,4,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154442,69,4,3020  KEELE ST ,3,N/A,06,4,1959,2017
679,4,4,59,N/A,4,3,11/07/2019,4,4,4,4,N/A,4,4,3,4,3,16,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154444,75,5,3250  KEELE ST ,3,N/A,06,5,1963,2017
680,N/A,4,40,5,4,3,11/18/2019,3,3,3,4,N/A,5,4,3,4,3,17,N/A,5,PRIVATE,Evaluation needs to be conducted in 2 years,4154445,73,5,1385  SHEPPARD AVE W,2,3,06,3,1960,2017
681,3,3,46,N/A,3,3,11/18/2019,3,3,3,3,3,4,3,2,3,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154452,61,4,111  WHITBURN CRES ,3,N/A,06,3,1977,2017
682,4,4,40,4,4,4,11/18/2019,4,5,5,3,N/A,5,5,4,4,4,17,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154454,85,5,20  SKIPTON CRT ,4,N/A,06,3,1958,2017
683,5,17,300,5,5,5,11/18/2019,5,5,5,5,5,5,4,5,5,5,20,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154814,98,5,25  PARKWAY FOREST DR ,5,5,17,5,1972,2017
684,5,14,206,5,5,4,11/18/2019,4,4,4,5,5,5,5,4,5,4,20,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154815,90,5,70  CLIPPER RD ,4,4,17,4,1970,2017
685,3,14,125,5,3,5,11/07/2019,3,3,4,5,5,5,5,3,5,5,20,4,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154820,86,5,335  VAN HORNE AVE ,5,5,17,3,1969,2017
686,5,15,149,5,5,4,01/11/2019,4,4,4,4,5,5,4,4,4,4,20,4,2,PRIVATE,Evaluation needs to be conducted in 3 years,4154824,84,5,1650  SHEPPARD AVE E,3,4,17,5,1969,2017
687,5,15,174,5,5,5,11/07/2019,5,4,5,5,5,5,5,5,4,5,20,5,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154833,97,5,30  GODSTONE RD ,5,5,17,4,1970,2017
688,4,16,164,5,4,5,01/09/2019,3,4,4,3,3,5,5,3,4,3,20,3,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154835,78,5,8  GODSTONE RD ,4,3,17,5,1965,2017
689,N/A,4,35,N/A,3,3,01/02/2019,4,3,4,4,N/A,5,3,3,4,2,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154838,71,4,688  SHEPPARD AVE E,3,N/A,17,4,1958,2019
690,3,6,397,4,3,3,01/10/2018,4,3,4,4,3,4,3,3,3,3,19,3,4,TCHC,Evaluation needs to be conducted in 2 years,4154848,68,4,4000  DON MILLS RD ,3,N/A,17,4,1980,2017
691,N/A,4,108,4,3,4,01/02/2018,4,4,4,4,4,5,4,4,4,4,18,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155351,80,4,1447  ROYAL YORK RD ,4,N/A,02,4,1995,2017
692,4,8,77,4,3,4,02/04/2019,4,3,3,3,N/A,5,4,3,4,4,19,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155373,75,4,340  THE EAST MALL  ,4,5,02,3,1966,2017
693,4,3,17,N/A,4,4,11/26/2019,4,4,4,4,3,5,4,4,4,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155753,81,5,336  CLINTON ST ,4,N/A,11,4,1992,2017
694,5,4,88,4,4,4,10/31/2019,3,4,4,3,N/A,5,4,5,3,5,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155754,81,5,2301  LAKE SHORE BLVD W,4,3,03,4,1959,2017
695,NA,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 1 year,4155756,56,NA,6  PINEWOOD AVE ,NA,NA,12,NA,1927,NA
696,N/A,3,24,N/A,4,4,10/31/2019,3,3,4,4,N/A,5,5,4,5,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155763,78,4,8  SAND BEACH RD ,4,4,03,3,1966,2017
697,N/A,5,84,4,4,3,03/11/2019,4,4,4,3,3,5,4,3,4,4,18,4,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155766,77,5,552  ADELAIDE ST W,4,N/A,10,4,2005,2017
698,N/A,3,34,N/A,3,3,10/30/2019,4,3,3,4,N/A,5,4,4,3,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155930,73,4,90  JAMES ST ,3,N/A,03,4,1960,2017
699,3,32,571,4,4,4,12/03/2019,4,4,4,3,4,3,4,4,4,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155952,76,5,280  WELLESLEY ST E,3,N/A,13,4,1969,2017
700,5,7,74,5,5,5,11/18/2019,5,5,5,4,5,5,5,5,5,5,19,5,3,PRIVATE,Evaluation needs to be conducted in 3 years,4156639,97,5,1761  SHEPPARD AVE E,5,N/A,17,5,2010,2017
701,3,14,189,4,2,4,11/04/2019,4,3,4,3,3,5,3,3,3,3,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152964,67,4,1251  KING ST W,3,N/A,04,3,1972,2017
702,3,7,90,4,3,3,01/31/2019,4,3,3,3,N/A,5,4,4,3,4,17,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4152990,71,4,120  JAMESON AVE ,4,N/A,04,4,1960,NA
703,5,5,111,4,4,4,11/04/2019,4,4,5,4,N/A,5,3,4,5,5,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152996,84,4,99  DOWLING AVE ,4,3,04,5,1955,2017
704,N/A,10,42,3,3,4,01/17/2018,3,4,4,4,4,5,4,3,4,3,18,3,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153455,71,3,177  MUTUAL ST ,4,N/A,13,3,1991,2018
705,N/A,15,138,4,3,4,12/02/2019,4,4,4,3,3,5,4,3,4,4,18,5,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153457,76,4,80  DUNDAS ST E,3,N/A,13,4,1995,2017
706,3,24,334,4,5,5,03/05/2019,3,4,4,4,4,4,3,4,4,5,19,3,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153467,79,5,666  SPADINA AVE ,4,N/A,11,4,1971,2017
707,4,7,62,4,4,4,11/26/2019,4,3,4,4,N/A,4,4,4,5,3,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153468,79,3,710  SPADINA AVE ,4,N/A,11,5,1959,NA
708,N/A,18,326,4,4,4,11/26/2019,4,4,3,4,4,4,4,3,5,4,19,4,4,TCHC,Evaluation needs to be conducted in 2 years,4153469,76,3,341  BLOOR ST W,3,3,11,4,1980,2017
709,4,10,128,4,4,4,01/14/2019,4,4,4,4,4,5,3,4,4,4,19,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153472,79,4,392  SHERBOURNE ST ,4,N/A,13,3,1963,2017
710,3,4,57,3,4,4,11/21/2019,3,3,3,4,3,5,4,3,4,3,18,N/A,3,TCHC,Evaluation needs to be conducted in 2 years,4153962,69,4,790  EGLINTON AVE W,3,N/A,08,3,1941,2017
711,N/A,8,76,5,4,5,03/05/2019,4,4,3,5,5,5,5,5,5,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153970,90,5,660  BRIAR HILL AVE ,5,4,08,4,1974,2017
712,3,9,64,5,5,5,03/07/2019,4,4,4,4,4,5,3,5,3,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153978,82,5,680  ROSELAWN AVE ,4,N/A,08,3,1965,2017
713,N/A,6,40,5,4,4,02/26/2019,3,3,3,3,N/A,4,4,3,3,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153994,73,5,190  COLIN AVE ,4,N/A,12,4,1935,2017
714,3,10,79,3,3,3,11/19/2019,4,4,4,3,3,5,4,3,3,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154471,72,5,345  SENTINEL RD ,3,3,07,4,1970,2017
715,5,7,160,4,5,4,11/20/2019,4,5,5,5,4,5,4,4,5,4,19,4,4,TCHC,Evaluation needs to be conducted in 3 years,4154485,88,4,3036-3050  BATHURST ST ,4,N/A,08,5,1992,2017
716,3,3,10,N/A,4,3,02/06/2019,3,3,3,3,N/A,5,4,4,4,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154488,70,4,773  LAWRENCE AVE W,3,N/A,08,4,1959,NA
717,4,14,258,4,3,3,01/15/2018,3,3,4,3,4,5,4,3,4,4,19,4,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154494,72,3,3050  DUFFERIN ST ,4,N/A,08,3,1983,2018
718,4,3,12,N/A,4,4,11/20/2019,4,4,4,4,N/A,5,3,4,4,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154501,78,4,91  NEPTUNE DR ,3,N/A,08,4,1957,2019
719,5,9,117,5,5,5,11/05/2019,4,5,4,4,4,5,4,4,4,5,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154853,89,5,1790  EGLINTON AVE E,4,N/A,16,4,1982,2017
720,3,4,69,4,3,4,02/19/2019,4,4,4,4,N/A,4,4,4,3,5,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154887,76,5,48  ECCLESTON DR ,3,3,16,3,1960,2017
721,5,10,137,5,5,4,10/29/2019,5,4,4,4,5,5,4,4,5,5,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155392,90,5,2  TRIBURNHAM PL ,5,4,02,4,1964,2017
722,4,16,312,3,3,4,12/20/2018,4,3,4,4,4,4,3,3,5,4,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155394,74,5,545  THE WEST MALL  ,3,3,02,4,1969,2017
723,NA,10,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4152873,73,NA,3845  SHEPPARD AVE E,NA,NA,22,NA,1969,2017
724,3,12,141,4,4,4,12/14/2018,3,4,4,4,4,5,4,4,5,4,19,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4155396,77,4,70  DIXFIELD DR ,4,4,02,3,1963,2017
725,3,14,237,4,3,4,12/31/2018,4,3,3,3,3,3,3,3,3,5,18,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4155424,67,4,2765  ISLINGTON AVE ,2,N/A,01,3,1984,2017
726,5,22,278,5,5,5,10/29/2019,5,5,5,4,5,5,4,5,5,N/A,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155779,96,4,11  DUNBLOOR RD ,5,5,03,5,2007,2017
727,4,7,221,4,3,3,10/28/2019,4,3,3,3,3,4,4,2,3,3,19,3,3,TCHC,Evaluation needs to be conducted in 1 year,4155782,65,4,101  KENDLETON DR ,3,N/A,01,3,1965,2017
728,N/A,3,47,N/A,4,4,02/22/2019,3,4,4,4,N/A,5,4,4,3,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155802,76,4,14  ENGELHART CRES ,4,4,20,3,1956,2017
729,4,16,121,4,5,5,11/06/2019,5,5,4,4,3,5,4,3,4,4,19,3,3,PRIVATE,Evaluation needs to be conducted in 3 years,4156358,81,5,2089  LAWRENCE AVE W,3,N/A,05,4,1960,2017
730,5,8,95,5,5,5,12/04/2019,5,5,5,5,3,5,4,5,5,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156380,93,5,225  COSBURN AVE ,4,4,14,5,1965,2017
731,NA,7,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4156383,69,NA,106  GOODWOOD PARK CRT ,NA,NA,19,NA,1961,2017
732,4,8,179,4,4,4,11/25/2019,4,4,4,4,4,5,4,4,4,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156711,81,5,100  LOWER OSSINGTON AVE ,4,3,10,4,2013,2017
733,N/A,4,53,4,5,5,01/12/2018,4,4,4,4,4,5,4,4,4,4,18,4,4,TCHC,Evaluation needs to be conducted in 3 years,4156716,84,5,40  LOWER RIVER ST ,4,N/A,13,4,2014,2017
734,4,9,184,4,5,5,11/06/2019,4,4,4,4,3,5,4,3,4,3,18,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4156723,77,5,5  HARDING AVE ,2,N/A,05,4,2008,2017
735,4,3,15,N/A,3,5,01/14/2019,3,3,2,4,N/A,4,3,5,3,5,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153007,72,2,1502  KING ST W,4,N/A,04,4,1952,2017
736,3,3,15,N/A,3,3,01/15/2019,3,3,2,3,N/A,4,3,3,3,2,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4153008,59,3,1504  KING ST W,3,N/A,04,3,1900,2017
737,N/A,5,27,N/A,3,4,12/27/2018,4,4,3,4,N/A,5,3,4,3,4,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153014,76,4,122  DOWLING AVE ,4,N/A,04,4,1930,2017
738,4,11,86,4,4,4,01/08/2019,4,4,4,4,N/A,5,4,4,4,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153018,82,4,170  JAMESON AVE ,5,4,04,4,1960,2017
739,4,11,82,3,2,3,01/09/2019,3,2,3,3,N/A,3,3,3,3,3,17,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4153025,59,3,182  JAMESON AVE ,3,3,04,3,1965,2018
740,N/A,3,11,N/A,3,3,01/18/2019,2,3,3,3,N/A,5,2,3,3,N/A,13,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4153027,60,4,1479  QUEEN ST W,3,N/A,04,2,1917,2017
741,N/A,3,35,N/A,4,4,01/07/2019,3,4,4,4,N/A,4,4,4,4,4,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153477,77,4,134  CARLTON ST ,4,N/A,13,3,1927,2017
742,N/A,5,32,4,4,4,12/17/2018,3,4,4,3,N/A,5,4,4,4,3,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153512,73,3,49  DUNDONALD ST ,3,N/A,13,3,1917,2017
743,3,3,10,N/A,4,4,03/12/2019,3,3,4,4,N/A,5,4,4,3,N/A,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153998,75,5,893  AVENUE RD ,4,3,12,4,1960,2017
744,4,13,172,4,4,4,11/21/2019,4,4,4,5,4,5,5,5,3,3,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154008,82,5,30  EDITH DR ,4,4,08,4,1968,2017
745,4,23,458,5,5,5,11/21/2019,4,4,4,4,5,5,5,5,3,4,20,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154012,88,5,411  DUPLEX AVE ,3,4,08,5,1974,2017
746,4,7,63,5,4,4,01/31/2019,4,4,4,3,N/A,5,5,4,3,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154019,82,5,2730  YONGE ST ,5,3,08,4,1954,2017
747,4,3,39,N/A,4,4,01/23/2019,4,4,3,4,N/A,4,4,3,3,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154026,76,5,15  BEDFORD PARK AVE ,3,4,08,4,1960,2017
748,3,3,10,N/A,3,3,02/12/2019,5,N/A,N/A,3,N/A,5,4,3,3,3,13,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4154505,71,4,8  WASDALE CRES ,3,N/A,08,4,1957,2017
749,3,3,11,N/A,5,5,11/20/2019,4,5,4,4,N/A,5,5,4,4,4,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154508,86,5,28  WASDALE CRES ,4,N/A,08,4,1975,2017
750,3,3,10,N/A,4,3,01/30/2019,3,3,3,4,N/A,5,4,3,3,4,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154510,72,5,32  WASDALE CRES ,4,3,08,4,1957,NA
751,3,3,15,N/A,3,3,02/15/2019,3,N/A,3,3,N/A,4,3,3,3,3,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4154512,63,3,64  WASDALE CRES ,4,N/A,08,3,1956,2017
752,3,3,10,N/A,3,3,02/22/2019,3,3,2,3,N/A,5,3,4,3,3,16,N/A,2,PRIVATE,Evaluation needs to be conducted in 1 year,4154524,61,3,22  HOTSPUR RD ,3,N/A,08,3,1957,2017
753,3,3,12,N/A,3,3,02/06/2019,2,3,3,3,N/A,5,2,3,3,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154528,60,3,78  NEPTUNE DR ,3,N/A,08,3,1956,2017
754,4,3,12,N/A,3,3,11/20/2019,4,3,3,3,N/A,5,4,2,3,5,16,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154532,66,3,86  NEPTUNE DR ,2,N/A,08,4,1956,NA
755,4,8,44,5,5,5,01/04/2018,4,4,4,4,4,5,4,5,4,N/A,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154893,88,5,5-15  BROOKBANKS DR ,4,N/A,16,5,2001,2017
756,5,13,111,5,5,5,11/04/2019,5,5,4,3,5,5,5,5,5,5,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154894,94,5,8-10  ROANOKE RD ,5,4,16,5,1962,2017
757,3,7,87,4,3,4,03/04/2019,3,4,4,4,5,5,4,3,4,4,19,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154908,75,5,57  PARKWOODS VILLAGE DR ,4,3,16,3,1965,2017
758,5,4,64,3,4,4,03/06/2019,4,4,3,4,5,4,3,4,4,4,20,3,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154915,78,5,1325  YORK MILLS RD ,4,4,16,4,1961,2017
759,3,7,76,4,4,5,03/07/2019,3,4,4,4,5,5,5,5,5,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154920,84,5,1264  YORK MILLS RD ,5,N/A,16,3,1963,2017
760,5,4,38,5,3,5,10/31/2019,5,5,5,5,5,5,5,3,5,5,18,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154924,93,3,1230  YORK MILLS RD ,5,N/A,16,5,1963,2017
761,5,8,65,5,4,5,01/31/2019,5,4,5,4,5,5,5,5,5,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154926,93,5,1216  YORK MILLS RD ,5,4,16,4,1964,2017
762,4,3,45,N/A,4,3,12/05/2018,4,4,3,4,N/A,5,3,3,3,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155428,74,5,35  JANSUSIE RD ,3,3,01,4,1963,2017
763,3,3,17,N/A,4,4,12/14/2018,3,4,4,4,N/A,5,3,4,2,4,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155431,71,5,40  TORBOLTON DR ,3,N/A,01,1,1962,2017
764,4,3,19,N/A,4,4,10/28/2019,5,4,4,4,N/A,5,4,5,3,3,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155436,84,5,15  TORBOLTON DR ,4,N/A,01,5,1960,2017
765,4,3,15,N/A,4,4,12/14/2018,3,4,4,5,N/A,5,2,3,3,3,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155437,74,4,21  TORBOLTON DR ,4,N/A,01,3,1960,2018
766,4,3,16,N/A,4,4,12/11/2018,3,4,3,3,N/A,5,2,4,3,4,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155438,74,5,2366  ISLINGTON AVE ,4,N/A,01,3,1950,2017
767,4,7,68,4,3,4,10/28/2019,4,4,3,4,N/A,5,4,3,5,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155442,76,4,2328  ISLINGTON AVE ,3,4,01,3,1962,2017
768,3,7,143,3,4,5,01/11/2019,4,4,3,4,5,5,5,5,3,5,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155457,80,4,10  GARFELLA DR ,3,N/A,01,4,1969,2017
769,4,19,142,4,5,4,10/29/2019,3,4,4,4,3,4,4,4,4,4,19,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4155825,77,5,24  EVA RD ,4,3,02,4,1971,2017
770,4,26,201,4,4,5,10/31/2019,4,4,5,4,4,5,3,3,4,5,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4155848,81,5,35  HIGH PARK AVE ,3,4,04,4,1969,2017
771,3,27,214,4,2,4,11/04/2019,4,4,3,2,5,5,3,3,4,4,19,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155992,72,5,2450  WESTON RD ,2,N/A,05,4,1972,2017
772,4,19,221,4,3,4,11/26/2019,3,4,3,4,3,5,4,3,3,3,19,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4155999,71,5,30  FALSTAFF AVE ,2,3,05,3,1970,2017
773,N/A,3,23,N/A,4,4,03/01/2019,3,N/A,3,3,N/A,5,4,4,3,4,14,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4156014,73,4,1  GREENBROOK DR ,4,N/A,05,3,1950,2018
774,4,5,26,N/A,3,3,01/02/2019,3,3,3,4,N/A,3,3,3,3,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4156401,64,4,10  CROWN HILL PL ,3,3,03,3,1953,2017
775,5,4,54,N/A,3,3,01/15/2019,4,2,5,4,N/A,5,3,3,4,2,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152638,72,4,1607  VICTORIA PARK AVE ,3,3,21,4,1954,2019
776,5,4,43,N/A,4,5,11/21/2019,4,4,4,4,N/A,5,4,4,3,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152645,84,5,1739  VICTORIA PARK AVE ,4,4,21,4,1958,2017
777,N/A,4,32,N/A,3,3,11/04/2019,4,4,5,4,N/A,5,3,3,3,4,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153040,73,4,12  ELM GROVE AVE ,3,3,04,3,1968,2017
778,N/A,6,46,4,3,4,12/05/2018,3,3,3,3,3,5,3,3,3,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153057,68,4,1639  BLOOR ST W,3,3,04,3,1960,2017
779,N/A,4,37,N/A,4,4,11/27/2019,3,4,4,3,N/A,5,4,4,4,4,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153518,79,5,16  ST JOSEPH ST ,4,N/A,13,3,1927,2017
780,3,12,82,4,4,5,12/03/2019,4,3,3,3,3,5,3,4,3,4,18,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4153532,71,4,55  ISABELLA ST ,3,N/A,13,4,1965,2017
781,N/A,3,24,N/A,3,3,11/26/2019,3,3,3,3,N/A,5,3,3,3,3,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4153539,64,5,61  CHARLES ST E,3,2,13,3,1930,2017
